scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,thrust_drop_fraction,thrust_drop_start_sec,thrust_drop_end_sec,wind_bias_x,wind_bias_y,wind_amp_x,wind_amp_y,wind_freq_x_hz,wind_freq_y_hz,wind_phase_x,wind_phase_y,gust_start_sec,gust_duration_sec,gust_force_x,gust_force_y,gust_force_z,time_step,time_sec,x,y,z,effective_thrust_scale,wind_fx,wind_fy,wind_fz
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,0,0.0,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.0,-0.016147084772575322,-0.021888519028817256,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,24,0.1,1.4285355449327468,-0.6847361430072508,0.9390229384661547,1.0,-0.014293887672535264,-0.021907977418787965,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,48,0.2,1.4292967293406065,-0.672989606969976,1.0109717205662812,1.0,-0.012450717550186714,-0.02167986184007247,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,72,0.3,1.4299998943936414,-0.6388719036427971,1.071748983192032,1.0,-0.010627751330380885,-0.021206960655869654,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,96,0.4,1.4281643750101949,-0.5745582772447191,1.1214810874637786,1.0,-0.008835054383644615,-0.020495054358095774,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,120,0.5,1.420311130699083,-0.4767362033813858,1.1612531910995714,1.0,-0.007082524950995766,-0.01955284490973354,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,144,0.6,1.4038515901624047,-0.34501487121661956,1.1948903828628124,1.0,-0.005379839491551968,-0.01839184937667665,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,168,0.7,1.378165011460841,-0.18275874084678087,1.2237424865598916,1.0,-0.0037363992546911324,-0.017026259149257462,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,192,0.8,1.3443530534492194,0.004916172109220494,1.2487156613337718,1.0,-0.00216127837176186,-0.015472766474258597,0.0
wind_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0.0,1.7434668807292781,3.05301953506778,-0.01610990046308977,-0.0016539878508324765,0.024955852551516014,0.020276027188978554,0.11828935633226961,0.17605111064535028,6.281695303054595,4.648400641598798,2.510292518588389,0.5356876236970174,0.0,0.0,0.0,216,0.9,1.3047290304481116,0.21217756658328932,1.2704539915102178,1.0,-0.000663173753951524,-0.01375036041778892,0.0
