scenario,time_step,time_sec,num_nominal_samples,num_uncertain_samples,wasserstein_x,wasserstein_y,wasserstein_z,wasserstein_xyz_mean
thrust_drop_only,0,0.0,100,50,0.07815114373747309,0.08471296448484719,0.03338147616667913,0.06541519479633313
thrust_drop_only,24,0.1,100,50,0.07803895661804128,0.08451226156182909,0.02985198007192113,0.06413439941726383
thrust_drop_only,48,0.2,100,50,0.07749569843431572,0.08353587459762049,0.02540778873556547,0.062146453922500566
thrust_drop_only,72,0.3,100,50,0.07620416540967341,0.08145045111257287,0.02161369226980081,0.05975610293068236
thrust_drop_only,96,0.4,100,50,0.07423050261764245,0.07845240130815483,0.01837882862146696,0.057020577515754754
thrust_drop_only,120,0.5,100,50,0.071417644685735,0.07477573331110646,0.015624544717475703,0.053939307571439055
thrust_drop_only,144,0.6,100,50,0.06769120022585395,0.07029226323312923,0.013291315306104418,0.0504249262550292
thrust_drop_only,168,0.7,100,50,0.06338678034592052,0.06507905005442352,0.011285967512894646,0.04658393263774623
thrust_drop_only,192,0.8,100,50,0.05865963308455309,0.05993514695784416,0.00958183974123318,0.04272553992787681
thrust_drop_only,216,0.9,100,50,0.05355836452472748,0.054886949205664594,0.008151227189153459,0.038865513639848505
thrust_drop_only,240,1.0,100,50,0.048200296522948174,0.04959985367404475,0.006949663245691774,0.0349166044808949
thrust_drop_only,264,1.1,100,50,0.04281578112234094,0.04391422614794694,0.0059240346196756805,0.03088468062998785
thrust_drop_only,288,1.2,100,50,0.03747064058459363,0.03854140750708957,0.005047553498628555,0.027019867196770585
thrust_drop_only,312,1.3,100,50,0.032097720962496766,0.033349542161993276,0.0042994756315670605,0.023248912918685697
thrust_drop_only,336,1.4,100,50,0.02675984743140531,0.028023632924727045,0.0036622675945386708,0.01948191598355701
thrust_drop_only,360,1.5,100,50,0.02184505303986743,0.02239026883837303,0.0031244732260319033,0.01578659836809079
thrust_drop_only,384,1.6,100,50,0.01716241800881377,0.017165458766517098,0.002670513742288321,0.012332796839206397
thrust_drop_only,408,1.7,100,50,0.012793622332760586,0.012137846996992937,0.0022808540665042853,0.00907077446541927
thrust_drop_only,432,1.8,96,49,0.010755317885084003,0.010893121039215005,0.0017646886806077199,0.007804375868302242
thrust_drop_only,456,1.9,80,39,0.007071998404836959,0.0042280889538043355,0.001807447751708154,0.004369178370116483
thrust_drop_only,480,2.0,29,16,0.004163411703803667,0.0028710700648462983,0.0020688405066827294,0.0030344407584442317
wind_only,0,0.0,100,50,0.07815114373747309,0.08471296448484719,0.03338147616667913,0.06541519479633313
wind_only,24,0.1,100,50,0.07811627352319053,0.08449299614992833,0.030131489470539945,0.06424691971455294
wind_only,48,0.2,100,50,0.07866770177768609,0.082944188607109,0.0232904616442881,0.06163411734302773
wind_only,72,0.3,100,50,0.08209248127933155,0.08073880180109654,0.015078358892495989,0.05930321399097469
wind_only,96,0.4,100,50,0.09111579098164667,0.07408828553885077,0.013964295701473525,0.059722790740657
wind_only,120,0.5,100,50,0.09879286795789001,0.06855461592132464,0.016536111762189422,0.061294531880468024
wind_only,144,0.6,100,50,0.10636085410124498,0.06820281201695516,0.022952542841186654,0.06583873631979559
wind_only,168,0.7,100,50,0.11540245469293213,0.11035513265785726,0.049417717447344925,0.09172510159937809
wind_only,192,0.8,100,50,0.12092942537087528,0.16101168170978475,0.08962236250594426,0.12385448986220142
wind_only,216,0.9,100,50,0.12084698383802202,0.2327620630592486,0.1307432521950645,0.1614507663641117
wind_only,240,1.0,100,50,0.1456308252733662,0.32764124394445854,0.15692667487620465,0.2100662480313431
wind_only,264,1.1,100,50,0.19554162218248727,0.44263723266374877,0.17320871418617217,0.2704625230108027
wind_only,288,1.2,100,50,0.26287962908596657,0.5574692367310553,0.18680477787168812,0.33571788122957
wind_only,312,1.3,100,50,0.3514277061862434,0.6803306911070199,0.21026337057118752,0.41400725595481697
wind_only,336,1.4,100,50,0.43991055973189286,0.7949679040792881,0.22965153040437053,0.4881766647385171
wind_only,360,1.5,100,50,0.5219985212024612,0.9015869244116748,0.24604553470726626,0.5565436601071341
wind_only,384,1.6,100,50,0.6008200846850504,0.998068540484087,0.27144308433483677,0.6234439031679914
wind_only,408,1.7,100,50,0.6766014311618714,1.0951557231354723,0.3123215852019333,0.6946929131664258
wind_only,432,1.8,96,50,0.7569396958951419,1.1868167341542235,0.3481538872304223,0.7639701057599293
wind_only,456,1.9,80,49,0.8564674744131988,1.3000467527699933,0.39790093044044594,0.8514717192078792
wind_only,480,2.0,29,49,0.9302196820192672,1.375050568188193,0.44002655772493504,0.9150989359774652
