start_x,start_y,start_z,goal_x,goal_y,goal_z,steps,reached_goal,final_x,final_y,final_z,final_vx,final_vy,final_vz,final_position_error,trajectory_total_cost,trial,seed,status
1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,487,True,1.3033667016822206,2.0061976097152296,1.3772783905399488,-0.051204595814158003,1.125879473203126,0.03339463279948602,0.09657377822063579,20054.91055004032,0,173998000,ok
-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,488,True,1.252523243134303,2.013936646254752,1.3829031895406907,0.8039406092425339,1.1893096172113733,0.021207095409100842,0.09976594723775116,32219.51363253919,1,2109564611,ok
1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,439,True,1.2746256098091302,2.0045887967689273,1.3896599809639925,0.14221023919547646,0.5347180456938739,0.016031666344251152,0.09926768544307145,3027.757059737498,2,1339998021,ok
1.314942489464833,0.28294884175751256,0.9167177407298479,1.3,2.1,1.4,472,True,1.3004200170456846,2.003417156825645,1.3776758865905396,-0.006364144370225256,0.8103810316704052,0.034326870961674916,0.09913015711416558,9932.688766826463,3,337813862,ok
0.14619173368841865,-0.07318863714485646,0.9161431863738767,1.3,2.1,1.4,482,True,1.256154424777517,2.014059987837266,1.3783808802817779,0.4807550081045073,0.9062486193908396,0.0318860852947431,0.09887116108609305,15914.119995965013,4,1881254966,ok
-0.6159658884495521,-1.051565140133306,1.1563828310470101,1.3,2.1,1.4,483,True,1.255444177543035,2.0123810171983947,1.3868999363988055,0.7252357086845316,1.200846333831242,0.015810759678153277,0.09916611885296286,29206.724430704493,5,726009903,ok
1.2535065405618382,-0.6404296082492161,0.946239664126483,1.3,2.1,1.4,483,True,1.297476265287434,2.0028468095006517,1.3794619265432573,0.019856334768546067,1.1173671349846817,0.030078792968687273,0.09933239211061333,18643.932309928652,6,1145061444,ok
0.551551720495763,0.07059325223455337,1.6584892018901567,1.3,2.1,1.4,462,True,1.2670189766548483,2.0085893851584773,1.411147118686508,0.3251641676046959,0.880918245763895,-0.02030453989492137,0.09781567697260889,10612.550648001965,7,207846659,ok
-0.21926538410081808,-1.0210000266947175,1.7672095377201105,1.3,2.1,1.4,478,True,1.261121627214739,2.0095580954590018,1.4130764607045434,0.5906293004053851,1.2160660427595658,-0.02658445852572112,0.09930891093950357,26863.8406993894,8,402111487,ok
0.1149822554969877,-0.9579966610860611,1.527969893121802,1.3,2.1,1.4,473,True,1.2708287091639532,2.0097187431305397,1.4030668198477312,0.46165694508332134,1.2018051636107574,-0.009327926848393963,0.09492668189160076,22399.033663616567,9,1198804965,ok
-0.5070300975302475,1.1226253060445153,1.6745805206777455,1.3,2.1,1.4,461,True,1.2167874626225712,2.051055088195024,1.412126306129081,0.7914344079575175,0.4311159160254115,-0.022169902435288203,0.09729839705114914,9776.349414606328,10,1209132658,ok
0.6098356235974487,0.5572847984784457,1.7758126707797244,1.3,2.1,1.4,457,True,1.2607047262190585,2.011615375377953,1.4179840693149788,0.3169231721667917,0.7074458246731289,-0.030290674017269252,0.09838387652570553,7748.447449301647,11,1973765015,ok
0.1668308518394248,0.03461199883763699,0.848880295387496,1.3,2.1,1.4,484,True,1.2548604552219607,2.015556583259709,1.3758809484298071,0.47627355344609923,0.8676765581404045,0.036851376767369985,0.09874207706033278,15737.320729540632,12,574138095,ok
0.4438097825268137,-0.3402442719624519,1.4389389721951589,1.3,2.1,1.4,466,True,1.2707952742996182,2.0073675745491775,1.4002065889249131,0.35363245150420036,1.0152763415145443,-0.0030095715265166913,0.09712736446090077,13905.444842008248,13,1464117623,ok
0.6235140756731514,-0.9712563426754711,0.8622068767056422,1.3,2.1,1.4,491,True,1.2789667010617072,2.0073097645162146,1.3764419347347236,0.26817661099153606,1.2082363868166,0.03187578927657639,0.09792273411884608,24940.07950972925,14,2113704008,ok
1.106901639338321,-0.3775274264967803,1.0823670996258974,1.3,2.1,1.4,475,True,1.2921000542310839,2.0049374869254546,1.3848344418323209,0.08115311144763035,1.032127980802992,0.022155192153716537,0.09658822231378528,14346.793642366618,15,1995071276,ok
-1.3107986701207608,-0.7462256360072358,1.0189007999776825,1.3,2.1,1.4,491,True,1.2485840343437058,2.0230905649002318,1.3816626253566735,0.9651071030747755,1.0680194404550896,0.020825876377688124,0.09431289434931163,33485.674963048434,16,1987393938,ok
-1.0790094935887917,1.304521022377287,1.3378337867440575,1.3,2.1,1.4,467,True,1.2103819762892998,2.0665779525192374,1.395730847658545,0.9918925021442084,0.3336600277773174,0.004175871000619515,0.09574261900184547,13169.943681551897,17,163460212,ok
-0.3797204733398125,-0.33728908360503085,1.4009182728734435,1.3,2.1,1.4,471,True,1.2512051023226978,2.0171700208274985,1.397995514506193,0.6708820895374863,0.9825378174583004,-0.002162287575628942,0.09615490341709217,18162.91156027174,18,780124240,ok
1.1088023136839116,-0.44006391491850727,1.4224324102035042,1.3,2.1,1.4,466,True,1.2936455149253612,2.004622657159566,1.399499975027065,0.07893394664416127,1.0578232664687304,-0.0017962517315141928,0.0955900990314327,13492.207562602824,19,2132064675,ok
0.8677589683907145,1.4424056297502346,0.9074055946502946,1.3,2.1,1.4,437,True,1.2479705433830104,2.0207165929564934,1.3721250698911758,0.2326199204665902,0.35391368745717905,0.04474614313874397,0.09884298010914788,4192.216287155561,20,1381640177,ok
0.3700438023043704,1.2497049764004702,1.4672027777862793,1.3,2.1,1.4,439,True,1.2267795188557644,2.0321459954567698,1.4032764284372758,0.4561911242019272,0.41755950387146046,-0.006100514013128293,0.09988062762543434,3440.8926261824317,21,283084278,ok
0.11874517383816796,-0.7097420793122468,1.6373377293091624,1.3,2.1,1.4,472,True,1.26543152116207,2.011254448805877,1.4083387141917134,0.4726226392777781,1.124775679648355,-0.017941102205496058,0.09560484684516904,19977.61809898623,22,1915981055,ok
