scenario,time_step,time_sec,num_nominal_samples,num_uncertain_samples,wasserstein_x,wasserstein_y,wasserstein_z,wasserstein_xyz_mean
inertia_only,0,0.0,100,50,0.07815114373747309,0.08471296448484719,0.03338147616667913,0.06541519479633313
inertia_only,24,0.1,100,50,0.07799149727555182,0.08443067832471793,0.030673988898159553,0.06436538816614311
inertia_only,48,0.2,100,50,0.07721668139933602,0.08311080159222622,0.02663723999524508,0.06232157432893578
inertia_only,72,0.3,100,50,0.07564245358291279,0.0804720037158698,0.023240614521334482,0.05978502394003902
inertia_only,96,0.4,100,50,0.0735241500374138,0.07682751544383157,0.020372287039115436,0.05690798417345361
inertia_only,120,0.5,100,50,0.07054735899701342,0.0724520073877067,0.01796735519543781,0.05365557386005263
inertia_only,144,0.6,100,50,0.0666960918825574,0.06774239185695766,0.015957498670963837,0.05013199413682629
inertia_only,168,0.7,100,50,0.06240568306654697,0.06213300195062474,0.014377777228793232,0.04630548741532165
inertia_only,192,0.8,100,50,0.05771413045083436,0.05723879473554834,0.013133556593060746,0.04269549392648115
inertia_only,216,0.9,100,50,0.052677412625808405,0.05243973779967482,0.01223755748640693,0.03911823597063005
inertia_only,240,1.0,100,50,0.04745227521280673,0.047477495657162264,0.011592820794480244,0.03550753055481642
inertia_only,264,1.1,100,50,0.04226469884655867,0.04244574441100311,0.010986954898148996,0.031899132718570256
inertia_only,288,1.2,100,50,0.0370326573153239,0.03750440375692684,0.010522311936633479,0.02835312433629474
inertia_only,312,1.3,100,50,0.03177039183389933,0.032602432096056594,0.010181627544024633,0.02485148382466018
inertia_only,336,1.4,100,50,0.02656530250026555,0.027502452305644926,0.009837253799137226,0.0213016695350159
inertia_only,360,1.5,100,50,0.0217451929789706,0.02197665423055413,0.009604748010864354,0.017775531740129694
inertia_only,384,1.6,100,50,0.017164973673281826,0.017182942443592662,0.009355474589412702,0.01456779690209573
inertia_only,408,1.7,100,50,0.0128975918072997,0.012317564448278511,0.009157077315583635,0.011457411190387281
inertia_only,432,1.8,96,49,0.01082446090845728,0.011035660156650353,0.008944785818248395,0.01026830229445201
inertia_only,456,1.9,80,39,0.007004248956675281,0.004550692986205578,0.009358262589675693,0.006971068177518851
inertia_only,480,2.0,29,15,0.004685952080323809,0.0038320316559763428,0.009976038599909365,0.006164674112069839
mass_only,0,0.0,100,50,0.07815114373747309,0.08471296448484719,0.03338147616667913,0.06541519479633313
mass_only,24,0.1,100,50,0.07800644383768972,0.08449069089336722,0.0370050160034964,0.06650071691151778
mass_only,48,0.2,100,50,0.0773753295604466,0.0835234898412574,0.03858096161556214,0.06649326033908871
mass_only,72,0.3,100,50,0.07599582989770748,0.08144068420055009,0.04211005556547111,0.06651552322124289
mass_only,96,0.4,100,50,0.07403094870881752,0.07847446706138131,0.046224959276246785,0.0662434583488152
mass_only,120,0.5,100,50,0.07133575625385871,0.0748652057338744,0.05028988985113564,0.06549695061295625
