trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,time_step,time_sec,x,y,z
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,0,0.0,1.4283857669152393,-0.6857830577333721,0.8836354349866103
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,24,0.1,1.4283596578533422,-0.6850086254201664,0.9403967074402412
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,48,0.2,1.4279573778708965,-0.6756685655043012,1.00830388466081
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,72,0.3,1.426690443327924,-0.6477680704016179,1.065608131272484
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,96,0.4,1.424242778859655,-0.5949610595671331,1.1140763940867386
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,120,0.5,1.4204734625746753,-0.514503734114882,1.155088616590955
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,144,0.6,1.4153807733360184,-0.4063778484671243,1.1901475012940816
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,168,0.7,1.4090761549577127,-0.27275575508811034,1.2201909340719828
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,192,0.8,1.4017399132199249,-0.11716738307721822,1.2460181898763854
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,216,0.9,1.393588358129387,0.056086807980753536,1.268329339983618
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,240,1.0,1.3848509984315842,0.24234506232131212,1.2875207168187528
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,264,1.1,1.375751035285116,0.4369724282192478,1.3040506388408546
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,288,1.2,1.3664972677097278,0.6355395072293457,1.3182216569589373
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,312,1.3,1.3572780071080892,0.833979740700778,1.330326368856245
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,336,1.4,1.3482588466001237,1.0286684318593022,1.340639012395237
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,360,1.5,1.3395816870481552,1.216470280173272,1.3493772487009876
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,384,1.6,1.331364775391496,1.394757081664973,1.3567742421425646
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,408,1.7,1.323702959026188,1.5614111037238665,1.3630122147578232
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,432,1.8,1.3166685285089716,1.7148093293639715,1.3682606192857276
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,456,1.9,1.3103125267953568,1.8537934476472449,1.372698197501274
0,173998000,1.4283857669152393,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,480,2.0,1.304665647574712,1.9776471331809478,1.3764261882980946
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,0,0.0,-0.8471205482555197,-1.049728865806801,1.054064889537167
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,24,0.1,-0.846018017882674,-1.0478810110512191,1.095529134801916
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,48,0.2,-0.8365565676361476,-1.0334982183620487,1.1400120059170822
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,72,0.3,-0.81091724341385,-0.995578504351698,1.1768459044093709
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,96,0.4,-0.7642181604085615,-0.9275899151003507,1.2075835168688318
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,120,0.5,-0.6946403101597576,-0.8272730480305788,1.2333936206380414
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,144,0.6,-0.602797789012338,-0.6954754667866956,1.2557162615043833
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,168,0.7,-0.4912591683717245,-0.5355214327427383,1.2751853898863283
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,192,0.8,-0.36360379044040453,-0.3520769717936814,1.2922868187798893
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,216,0.9,-0.22380291445923922,-0.1504506623473819,1.3074224905082223
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,240,1.0,-0.07584221686487386,0.06384593303318285,1.3206650707998755
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,264,1.1,0.07657251105247767,0.2855110982620513,1.3322309297813524
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,288,1.2,0.23009367056147756,0.5096044715842144,1.3422177626382013
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,312,1.3,0.3817842620959486,0.7316878712463586,1.3507615517668192
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,336,1.4,0.5291175784215365,0.9478864153801154,1.358013510550026
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,360,1.5,0.6699680226796815,1.154921417124623,1.3641010996901337
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,384,1.6,0.8025939840762357,1.3501116815140566,1.3691945679166708
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,408,1.7,0.9256263836908013,1.5313639708485256,1.3734232627428369
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,432,1.8,1.0380502531645321,1.6971406296627582,1.3769167488886762
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,456,1.9,1.139179693710786,1.8464108681023803,1.3798406383686022
1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,480,2.0,1.22864802103032,1.978623369562933,1.3822523780756135
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,0,0.0,1.0177565050757096,1.0381798819170358,1.2147309032036058
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,24,0.1,1.0179672756510243,1.0390019603911285,1.2392831052347928
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,48,0.2,1.0194512072902455,1.044646358892867,1.2630724800413695
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,72,0.3,1.0231586997648416,1.0586660333176723,1.2832434810333326
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,96,0.4,1.029592477076719,1.0829295710396538,1.3003893722352078
2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,120,0.5,1.038906105277329,1.117999889495077,1.314958614310295
