scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,432,1.8,1.316826740114269,1.7165582228289695,1.2875140178300795,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,456,1.9,1.3104190821335668,1.8556551677786268,1.2914138332649119,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,480,2.0,1.3047261454019277,1.9795697842008917,1.2942048883747592,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,504,2.1,1.2997672875799562,2.087843737867161,1.29693078352534,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,528,2.2,1.2955350956273302,2.180588016934866,1.2991387607437164,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,552,2.3,1.2920109761861,2.2581526238546594,1.300796819728986,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,576,2.4,1.2891697098170753,2.3210301043515367,1.3026356600743239,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,600,2.5,1.2869660553665059,2.370146647115624,1.303785741553289,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,624,2.6,1.2853591546716794,2.4063394483870146,1.3052095640218389,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,648,2.7,1.2842938799497292,2.4307617253070966,1.306382967650151,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,672,2.8,1.2837146299696833,2.4445861972212746,1.3072122189350874,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,696,2.9,1.2835672998881322,2.448961907779619,1.3083663394789455,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,720,3.0,1.2837906920812883,2.4452019039632282,1.3089457556290685,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,744,3.1,1.28433099359405,2.43446505613839,1.3098670672531356,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,768,3.2,1.2851307546491642,2.417997027040409,1.310590853092774,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,792,3.3,1.28613661003122,2.3969593553517563,1.3110087373076778,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,816,3.4,1.2872995084157208,2.3724225165942436,1.311772824880909,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,840,3.5,1.2885717344922423,2.345431055033744,1.3119875839233524,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,864,3.6,1.289911885461205,2.3168915890649497,1.3125608387543726,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,888,3.6999999999999997,1.291281681252428,2.287643705492653,1.3129574673878566,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,912,3.8,1.2926480261583606,2.2584132347633115,1.3130706278418687,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,936,3.9,1.2939822620787542,2.229828193670543,1.313552618556472,1.3473513859352455,1.0,1.0,1.0
