wind_mph,true_max_deviation,L1_max_deviation
5.0,0.9928407821383535,0.7902293667663054
10.0,1.492013590901497,1.5215324698005137
12.0,1.6956998987213812,1.6934649237331802
15.0,2.151514736102787,2.109651080059152

worst_mph,15.0
worst_deviation,2.151514736102787
vehicle_radius,0.15
margin,0.1
required_clearance,2.401514736102787
nominal_reference_clearance,-0.11077749756818017
clearance_safe,false
