system,rmse,max_error,worst_clearance,mean_clearance,collision_rate
nominal,2.6666046621534423,4.030552866871631,1.1719187697243587,1.173211013082534,0.0
true_disturbed,2.743264950408449,4.107124056776039,1.0074564512995314,1.3056387799935116,0.0
L1_DRAC,3.095997174270683,4.539415534078525,1.621412373420445,1.6748067432396727,0.0
